window_30s,t_start_s,t_end_s,kill_count,unique_participants,unique_killers,avg_assists,objective_count,dragon_count,baron_count,herald_count,atakhan_count,match_id
36,1080,1110,1,2,1,0.0,0,0,0,0,0,NA1_5441981348
37,1110,1140,2,4,2,1.0,0,0,0,0,0,NA1_5441981348
38,1140,1170,4,7,3,2.0,0,0,0,0,0,NA1_5441981348
39,1170,1200,2,4,1,0.5,0,0,0,0,0,NA1_5441981348
40,1200,1230,1,2,1,0.0,0,0,0,0,0,NA1_5441981348
41,1230,1260,3,6,3,2.0,0,0,0,0,0,NA1_5441981348
46,1380,1410,1,4,1,2.0,0,0,0,0,0,NA1_5441981348
47,1410,1440,3,7,3,1.3333333333333333,0,0,0,0,0,NA1_5441981348
49,1470,1500,1,4,1,2.0,0,0,0,0,0,NA1_5441981348
50,1500,1530,2,6,1,2.0,0,0,0,0,0,NA1_5441981348
51,1530,1560,1,4,1,2.0,0,0,0,0,0,NA1_5441981348
52,1560,1590,1,3,1,1.0,0,0,0,0,0,NA1_5441981348
56,1680,1710,4,10,3,2.25,1,1,0,0,0,NA1_5441981348
57,1710,1740,3,6,3,1.6666666666666667,0,0,0,0,0,NA1_5441981348
61,1830,1860,2,7,2,2.5,0,0,0,0,0,NA1_5441981348
64,1920,1950,1,5,1,3.0,0,0,0,0,0,NA1_5441981348
66,1980,2010,4,9,3,2.5,1,0,1,0,0,NA1_5441981348
67,2010,2040,1,4,1,2.0,0,0,0,0,0,NA1_5441981348
70,2100,2130,3,7,2,1.6666666666666667,0,0,0,0,0,NA1_5441981348
71,2130,2160,1,3,1,1.0,0,0,0,0,0,NA1_5441981348
5,150,180,1,4,1,2.0,0,0,0,0,0,NA1_5442024222
6,180,210,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
9,270,300,3,7,2,0.6666666666666666,0,0,0,0,0,NA1_5442024222
10,300,330,1,2,1,0.0,0,0,0,0,0,NA1_5442024222
13,390,420,1,2,1,0.0,1,1,0,0,0,NA1_5442024222
14,420,450,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
15,450,480,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
16,480,510,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
17,510,540,1,2,1,0.0,0,0,0,0,0,NA1_5442024222
18,540,570,2,6,2,1.0,0,0,0,0,0,NA1_5442024222
19,570,600,2,4,2,1.0,0,0,0,0,0,NA1_5442024222
20,600,630,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
21,630,660,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
22,660,690,1,2,1,0.0,0,0,0,0,0,NA1_5442024222
25,750,780,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
26,780,810,2,5,2,0.5,1,1,0,0,0,NA1_5442024222
27,810,840,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
28,840,870,4,7,4,0.75,0,0,0,0,0,NA1_5442024222
29,870,900,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
31,930,960,2,4,2,0.0,0,0,0,0,0,NA1_5442024222
32,960,990,1,2,1,0.0,0,0,0,0,0,NA1_5442024222
34,1020,1050,1,3,1,1.0,1,0,0,1,0,NA1_5442024222
36,1080,1110,1,3,1,1.0,0,0,0,0,0,NA1_5442024222
38,1140,1170,1,5,1,3.0,0,0,0,0,0,NA1_5442024222
39,1170,1200,3,7,3,2.3333333333333335,0,0,0,0,0,NA1_5442024222
40,1200,1230,2,5,2,1.5,0,0,0,0,0,NA1_5442024222
8,240,270,2,7,2,1.5,0,0,0,0,0,NA1_5442139046
9,270,300,1,3,1,1.0,0,0,0,0,0,NA1_5442139046
10,300,330,1,2,1,0.0,0,0,0,0,0,NA1_5442139046
12,360,390,2,5,1,2.0,0,0,0,0,0,NA1_5442139046
13,390,420,2,5,2,0.5,0,0,0,0,0,NA1_5442139046
17,510,540,1,3,1,1.0,0,0,0,0,0,NA1_5442139046
18,540,570,3,6,3,1.3333333333333333,0,0,0,0,0,NA1_5442139046
22,660,690,1,4,1,2.0,0,0,0,0,0,NA1_5442139046
23,690,720,2,6,2,2.5,0,0,0,0,0,NA1_5442139046
26,780,810,3,8,3,1.6666666666666667,0,0,0,0,0,NA1_5442139046
28,840,870,1,3,1,1.0,0,0,0,0,0,NA1_5442139046
29,870,900,1,3,1,1.0,0,0,0,0,0,NA1_5442139046
30,900,930,1,3,1,1.0,0,0,0,0,0,NA1_5442139046
31,930,960,1,4,1,2.0,0,0,0,0,0,NA1_5442139046
34,1020,1050,1,3,1,1.0,0,0,0,0,0,NA1_5442139046
37,1110,1140,3,7,2,2.0,1,1,0,0,0,NA1_5442139046
39,1170,1200,2,3,2,0.5,0,0,0,0,0,NA1_5442139046
40,1200,1230,2,6,2,1.0,0,0,0,0,0,NA1_5442139046
41,1230,1260,1,5,1,3.0,1,0,0,0,1,NA1_5442139046
46,1380,1410,1,4,1,2.0,0,0,0,0,0,NA1_5442139046
47,1410,1440,1,4,1,2.0,1,1,0,0,0,NA1_5442139046
48,1440,1470,1,2,1,0.0,0,0,0,0,0,NA1_5442139046
49,1470,1500,1,4,1,2.0,0,0,0,0,0,NA1_5442139046
52,1560,1590,1,2,1,0.0,0,0,0,0,0,NA1_5442139046
53,1590,1620,1,4,1,2.0,0,0,0,0,0,NA1_5442139046
54,1620,1650,2,6,2,2.5,0,0,0,0,0,NA1_5442139046
8,240,270,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
12,360,390,2,6,2,1.0,0,0,0,0,0,NA1_5442226236
14,420,450,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
15,450,480,2,5,2,0.5,0,0,0,0,0,NA1_5442226236
16,480,510,1,4,1,2.0,0,0,0,0,0,NA1_5442226236
17,510,540,1,2,1,0.0,0,0,0,0,0,NA1_5442226236
18,540,570,2,5,2,0.5,0,0,0,0,0,NA1_5442226236
20,600,630,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
22,660,690,2,4,1,1.0,0,0,0,0,0,NA1_5442226236
26,780,810,3,6,2,2.0,0,0,0,0,0,NA1_5442226236
31,930,960,7,8,4,1.7142857142857142,0,0,0,0,0,NA1_5442226236
34,1020,1050,2,6,2,1.0,0,0,0,0,0,NA1_5442226236
35,1050,1080,1,3,1,1.0,1,1,0,0,0,NA1_5442226236
37,1110,1140,2,6,2,2.5,0,0,0,0,0,NA1_5442226236
38,1140,1170,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
39,1170,1200,2,6,2,2.0,1,0,0,1,0,NA1_5442226236
40,1200,1230,1,5,1,3.0,0,0,0,0,0,NA1_5442226236
41,1230,1260,2,4,2,0.5,0,0,0,0,0,NA1_5442226236
43,1290,1320,2,6,2,3.0,0,0,0,0,0,NA1_5442226236
45,1350,1380,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
46,1380,1410,1,4,1,2.0,1,1,0,0,0,NA1_5442226236
48,1440,1470,1,4,1,2.0,0,0,0,0,0,NA1_5442226236
49,1470,1500,1,4,1,2.0,0,0,0,0,0,NA1_5442226236
51,1530,1560,3,7,3,1.0,0,0,0,0,0,NA1_5442226236
52,1560,1590,1,4,1,2.0,0,0,0,0,0,NA1_5442226236
53,1590,1620,4,9,4,1.25,0,0,0,0,0,NA1_5442226236
3,90,120,1,3,1,1.0,0,0,0,0,0,NA1_5442855892
5,150,180,2,2,2,0.0,0,0,0,0,0,NA1_5442855892
7,210,240,1,4,1,2.0,0,0,0,0,0,NA1_5442855892
8,240,270,1,3,1,1.0,0,0,0,0,0,NA1_5442855892
10,300,330,1,3,1,1.0,0,0,0,0,0,NA1_5442855892
11,330,360,1,4,1,2.0,0,0,0,0,0,NA1_5442855892
18,540,570,1,3,1,1.0,0,0,0,0,0,NA1_5442855892
19,570,600,2,6,2,1.5,0,0,0,0,0,NA1_5442855892
