timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
168691,168.691,7,4,"[9, 10]",12638,2314,300,0,5,2
203464,203.464,4,10,[5],11317,1464,300,0,6,1
284689,284.689,10,5,[9],12881,1732,300,0,9,1
294588,294.588,7,2,[],4539,13850,300,0,9,0
299265,299.265,7,1,[6],2927,13132,300,0,9,1
325677,325.677,9,4,[],12819,2507,300,0,10,0
415283,415.283,6,1,[],3032,12698,259,0,13,0
447090,447.09,9,5,[10],13674,1556,248,0,14,1
457244,457.244,9,4,[10],11569,1025,286,0,15,1
482447,482.447,6,2,[7],5640,12368,300,0,16,1
512813,512.813,6,1,[],1915,11845,237,0,17,0
541075,541.075,10,3,[8],8253,7058,320,0,18,1
569849,569.849,5,7,[1],11187,6479,300,294,18,1
592758,592.758,9,5,[10],13124,6107,300,0,19,1
595664,595.664,4,10,[5],13681,5296,300,100,19,1
610084,610.084,7,4,[9],11970,4776,310,0,20,1
655528,655.528,8,3,[10],7488,7306,290,0,21,1
678477,678.477,1,9,[],12253,3278,320,462,22,0
779448,779.448,9,3,[10],7534,7752,232,0,25,1
799379,799.379,8,1,[7],11243,1233,330,0,26,1
799747,799.747,6,4,[],2357,12206,271,0,26,0
826292,826.292,3,9,[2],5548,6936,330,0,27,1
840763,840.763,7,2,[10],7802,7222,330,0,28,1
851072,851.072,10,3,"[6, 7]",5123,5854,249,0,28,2
854379,854.379,0,5,[],12841,14057,304,0,28,0
859515,859.515,6,4,[],2182,8382,243,0,28,0
884358,884.358,7,1,[8],13786,3284,328,0,29,1
949817,949.817,8,4,[],8170,1056,199,0,31,0
957138,957.138,3,9,[],8297,7545,334,0,31,0
964476,964.476,6,3,[],7173,6685,264,0,32,0
1036748,1036.748,1,8,[2],6918,970,370,440,34,1
1109285,1109.285,8,1,[6],13690,3524,360,0,36,1
1164588,1164.588,6,1,"[8, 9, 10]",2418,1957,337,0,38,3
1178777,1178.777,10,5,"[8, 9]",1751,1285,340,0,39,2
1179960,1179.96,6,4,"[9, 10]",1313,912,159,0,39,2
1194011,1194.011,9,2,"[6, 8, 10]",2728,1398,370,0,39,3
1207633,1207.633,1,6,[],1294,812,380,700,40,0
1208301,1208.301,8,1,"[6, 9, 10]",1414,1044,360,0,40,3
