timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
262487,262.487,2,7,[3],6302,9513,300,0,8,1
362773,362.773,9,4,[],10754,1432,300,0,12,0
374264,374.264,3,7,"[2, 5]",10633,6204,257,0,12,2
434032,434.032,10,1,[6],822,10657,300,0,14,1
461783,461.783,4,9,[5],12910,3226,300,0,15,1
475958,475.958,2,6,[],1938,13365,310,0,15,0
499335,499.335,2,7,"[1, 3]",5536,10564,215,0,16,2
536730,536.73,6,1,[],1042,11016,271,0,17,0
548099,548.099,4,9,[5],13624,3065,300,0,18,1
560268,560.268,3,8,[],6946,6394,320,0,18,0
609464,609.464,3,10,[2],8564,4860,300,0,20,1
669230,669.23,2,6,[3],7521,7900,330,0,22,1
677848,677.848,2,7,[3],7865,8508,226,0,22,1
789640,789.64,6,3,"[8, 10]",3338,8650,340,467,26,2
793901,793.901,8,1,"[6, 10]",2251,8950,307,0,26,2
795673,795.673,6,2,"[8, 10]",2136,8511,330,525,26,2
935233,935.233,2,10,"[1, 5]",5297,9253,320,0,31,2
936871,936.871,6,5,[10],5278,7309,330,39,31,1
939009,939.009,8,2,"[6, 7, 10]",5734,8788,340,0,31,3
940345,940.345,4,6,"[2, 5]",5313,7144,340,0,31,2
943878,943.878,8,1,[7],5042,9113,277,0,31,1
944856,944.856,4,8,"[1, 2, 5]",5149,8981,350,0,31,3
954464,954.464,4,7,[],4980,8489,311,0,31,0
1043093,1043.093,4,7,"[3, 5]",10173,6334,260,0,34,2
1048437,1048.437,1,8,[],1976,12940,360,0,34,0
1076845,1076.845,6,1,[10],3203,13544,326,0,35,1
1115426,1115.426,4,7,"[2, 5]",5986,12716,191,0,37,2
1135638,1135.638,1,6,"[2, 4, 5]",1568,8729,360,0,37,3
1142719,1142.719,10,3,[8],14060,6068,370,0,38,1
1191013,1191.013,1,9,"[2, 5]",4058,13184,350,0,39,2
1194195,1194.195,4,10,"[2, 5]",5635,14020,350,0,39,2
1217432,1217.432,1,6,"[2, 4, 5]",6458,12178,360,0,40,3
1230034,1230.034,8,4,[],4306,13177,360,700,41,0
1250113,1250.113,5,8,[1],3110,13165,370,0,41,1
1311553,1311.553,2,10,"[1, 4, 5]",5071,11710,350,0,43,3
1313624,1313.624,4,7,"[1, 2, 5]",5742,12424,217,0,43,3
1375312,1375.312,8,1,[10],8060,13570,380,190,45,1
1383078,1383.078,2,7,"[4, 5]",9640,5382,152,0,46,2
1443698,1443.698,4,6,"[3, 5]",8159,6876,370,0,48,2
1494561,1494.561,4,7,"[1, 5]",7342,13749,131,0,49,2
1537197,1537.197,9,1,[],5787,13681,390,0,51,0
1540594,1540.594,2,9,"[1, 5]",6138,14112,380,0,51,2
1550868,1550.868,4,8,[3],9426,9322,390,0,51,1
1584599,1584.599,4,10,"[3, 5]",13921,14028,317,0,52,2
1590494,1590.494,4,9,"[3, 5]",14384,14594,348,0,53,2
1590561,1590.561,9,4,[10],14352,14129,390,480,53,1
1598989,1598.989,3,7,"[2, 5]",13196,10749,127,0,53,2
1603814,1603.814,1,6,[],3228,2051,374,0,53,0
