timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
155186,155.186,6,1,[],1780,10790,300,0,5,0
205919,205.919,3,9,[2],7809,8058,300,0,6,1
236021,236.021,4,8,[5],13889,4176,300,0,7,1
258139,258.139,7,3,[10],5680,5993,300,27,8,1
265554,265.554,9,2,[10],6402,5958,300,0,8,1
265687,265.687,2,10,[],6570,6581,300,0,8,0
297819,297.819,3,9,[5],7411,7303,298,0,9,1
342812,342.812,6,1,[],2574,12361,297,0,11,0
371143,371.143,7,5,"[8, 10]",11887,1135,300,0,12,2
391952,391.952,3,9,[],9139,8274,224,0,13,0
412632,412.632,4,8,[2],13987,3979,273,0,13,1
472936,472.936,1,10,[3],3377,8402,300,0,15,1
479599,479.599,2,7,"[1, 3]",3350,7849,300,0,15,2
529526,529.526,2,10,[1],3753,10572,234,0,17,1
529894,529.894,6,1,[],3479,9812,310,0,17,0
535249,535.249,3,7,"[4, 5]",4170,9893,300,0,17,2
538088,538.088,2,6,[1],3321,11667,320,0,17,1
658424,658.424,2,7,"[4, 5]",7786,7977,310,0,21,2
694980,694.98,3,8,[],12141,4815,264,0,23,0
753235,753.235,6,1,[],5569,13793,330,0,25,0
762532,762.532,7,4,[10],5102,13026,320,240,25,1
844223,844.223,4,10,"[2, 5]",3142,12306,201,0,28,2
854911,854.911,1,9,[],7505,4966,330,0,28,0
861993,861.993,2,7,[],6845,13026,330,0,28,0
871054,871.054,2,6,"[4, 5]",7112,13952,350,0,29,2
927576,927.576,5,9,"[2, 3]",3701,11437,285,0,30,2
954626,954.626,6,2,[10],8670,6749,340,694,31,1
987866,987.866,3,9,[],9958,14013,200,0,32,0
1013989,1013.989,6,3,"[8, 10]",2832,13823,360,461,33,2
1045175,1045.175,1,7,[2],13912,7795,350,0,34,1
1068751,1068.751,4,9,[2],11062,10560,171,0,35,1
1114910,1114.91,5,7,"[2, 4]",7576,9976,275,0,37,2
1121324,1121.324,2,10,"[4, 5]",7624,10268,212,0,37,2
1122509,1122.509,6,4,"[9, 10]",6651,9678,350,76,37,2
1147283,1147.283,8,3,[9],8986,14015,370,0,38,1
1204468,1204.468,8,5,"[7, 10]",11249,3431,340,197,40,2
1206239,1206.239,2,9,[],7817,13779,243,0,40,0
1216996,1216.996,7,1,[10],8958,2241,370,199,40,1
1217311,1217.311,3,7,"[1, 5]",9152,1700,354,0,40,2
1224729,1224.729,3,10,[],10775,3360,244,0,40,0
1261217,1261.217,6,2,[],4207,11586,370,110,42,0
1262800,1262.8,2,6,[5],4541,11868,380,0,42,1
1282866,1282.866,8,3,[],13024,5948,380,0,42,0
1290205,1290.205,4,9,[],7851,7656,221,0,43,0
1372834,1372.834,3,10,"[4, 5]",12904,5798,195,0,45,2
1379413,1379.413,8,4,[],11516,4406,370,1,45,0
1384691,1384.691,5,8,"[2, 3, 4]",11128,4957,380,0,46,3
1387397,1387.397,7,2,[8],10989,4130,380,7,46,1
1393756,1393.756,3,7,[5],10015,5781,369,0,46,1
1443738,1443.738,6,1,[10],10554,5524,390,0,48,1
1452991,1452.991,5,10,"[1, 2, 3]",9878,4860,186,0,48,3
1477459,1477.459,7,2,[6],10055,4391,347,0,49,1
1480332,1480.332,5,7,"[2, 3, 4]",10080,4584,327,0,49,3
1545686,1545.686,1,7,[5],7281,11181,231,0,51,1
1645684,1645.684,1,7,"[2, 4, 5]",11400,12320,161,0,54,3
1654864,1654.864,1,6,"[3, 4, 5]",13401,13874,400,0,55,3
