timestamp_ms,timestamp_s,killerId,monsterType,monsterSubType,teamId,position_x,position_y,window_30s
425526,425.526,7,DRAGON,CHEMTECH_DRAGON,,10125,4899,14
804816,804.816,7,DRAGON,WATER_DRAGON,,9858,4420,26
935831,935.831,2,RIFTHERALD,,,4830,9894,31
1200431,1200.431,9,DRAGON,FIRE_DRAGON,,10298,5062,40
1247962,1247.962,2,ATAKHAN,,,11722,3512,41
1576405,1576.405,7,DRAGON,FIRE_DRAGON,,9987,5048,52
1617594,1617.594,3,BARON_NASHOR,,,5007,10471,53
1969375,1969.375,2,DRAGON,ELDER_DRAGON,,9858,4421,65
2039111,2039.111,9,BARON_NASHOR,,,5007,10471,67
