timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
158405,158.405,3,8,[],7697,8043,300,0,5,0
164718,164.718,7,3,[],8574,7294,300,0,5,0
245066,245.066,7,4,[],11513,1980,300,0,8,0
250177,250.177,10,5,"[7, 9]",12249,1632,300,0,8,2
256769,256.769,9,2,"[7, 10]",11368,1254,300,0,8,2
260577,260.577,3,8,[],8620,8446,266,0,8,0
263048,263.048,8,3,[],7629,8144,300,0,8,0
334742,334.742,3,7,[2],7728,5983,300,191,11,1
337380,337.38,8,2,[7],6544,6414,274,0,11,1
352026,352.026,3,8,[],8194,8676,300,0,11,0
430535,430.535,3,8,"[4, 5]",9206,2069,300,0,14,2
434980,434.98,3,9,"[4, 5]",9042,2088,300,64,14,2
437686,437.686,3,7,"[4, 5]",9373,2372,300,0,14,2
442878,442.878,2,10,[5],7588,3237,300,0,14,1
488031,488.031,6,1,[7],3193,13232,310,0,16,1
511971,511.971,3,8,[2],6118,10449,240,0,17,1
570729,570.729,6,1,[],3171,13317,265,0,19,0
624204,624.204,2,9,"[4, 5]",13120,3004,310,0,20,2
626542,626.542,2,10,[5],13312,3905,298,0,20,1
658306,658.306,7,1,[6],2988,12931,223,0,21,1
673957,673.957,9,5,[10],11246,1000,300,0,22,1
681806,681.806,9,4,[10],13822,1608,320,0,22,1
694415,694.415,3,8,[],9438,8819,235,0,23,0
753003,753.003,6,1,[],1157,10613,188,0,25,0
779435,779.435,2,10,"[3, 4, 5]",10220,8184,285,0,25,3
781057,781.057,7,2,"[8, 9, 10]",10011,7959,330,0,26,3
783004,783.004,7,4,"[8, 9, 10]",10258,8096,313,0,26,3
783004,783.004,7,5,"[8, 9, 10]",9872,8256,285,0,26,3
783104,783.104,7,3,"[8, 9, 10]",10227,8250,340,0,26,3
910132,910.132,2,6,[1],2951,11551,350,309,30,1
920816,920.816,7,4,"[9, 10]",10544,1446,260,0,30,2
925058,925.058,7,5,"[9, 10]",9588,1282,211,0,30,2
1011225,1011.225,2,8,"[3, 5]",13109,5874,349,0,33,2
1066166,1066.166,6,1,"[8, 10]",6958,11499,316,0,35,2
1119947,1119.947,6,2,"[7, 8, 9, 10]",10725,6467,360,0,37,4
1120923,1120.923,3,7,"[4, 5]",11500,6296,360,413,37,2
1125575,1125.575,3,9,"[2, 4, 5]",11841,6790,350,2,37,3
1158782,1158.782,6,4,"[8, 10]",11958,6852,295,0,38,2
1160452,1160.452,6,5,"[8, 10]",11261,6372,207,0,38,2
1162927,1162.927,10,3,"[6, 8]",11811,6669,370,0,38,2
1164296,1164.296,6,1,"[8, 10]",10365,6195,221,0,38,2
1228359,1228.359,2,10,"[4, 5]",10924,3721,350,51,40,2
1228767,1228.767,2,9,"[4, 5]",10697,3472,350,0,40,2
1228767,1228.767,2,7,"[4, 5]",10743,3445,370,62,40,2
1228803,1228.803,3,6,"[2, 4, 5]",10608,3456,380,403,40,3
1381130,1381.13,3,10,"[1, 4, 5]",8761,9984,305,0,46,3
1385554,1385.554,7,5,"[8, 9, 10]",8623,10184,241,0,46,3
1386492,1386.492,3,7,"[2, 4, 5]",8414,10446,370,0,46,3
1400684,1400.684,6,2,"[8, 9]",8485,8424,380,269,46,2
1407846,1407.846,3,9,"[1, 4]",8453,7950,360,0,46,2
1577809,1577.809,3,10,[5],10811,4520,221,0,52,1
1578096,1578.096,7,1,"[6, 8, 10]",9664,4680,258,0,52,3
1581419,1581.419,3,9,"[2, 5]",10935,4787,291,0,52,2
1581466,1581.466,7,5,"[8, 9, 10]",11302,4770,218,0,52,3
1584799,1584.799,4,6,"[1, 2, 5]",9944,5343,390,0,52,3
1586274,1586.274,2,7,"[3, 4, 5]",10066,5492,380,0,52,3
1588145,1588.145,3,8,"[2, 4, 5]",10404,4717,380,0,52,3
1687144,1687.144,5,7,"[2, 3]",12573,7277,316,0,56,2
1695731,1695.731,10,5,"[6, 8, 9]",13511,8696,264,0,56,3
1702916,1702.916,6,4,"[8, 9, 10]",13915,6496,390,191,56,3
1709346,1709.346,6,2,"[8, 9, 10]",13895,6568,400,405,56,3
1728076,1728.076,9,1,"[8, 10]",6547,7655,227,0,57,2
1926402,1926.402,1,8,"[2, 3, 4, 5]",9719,6706,400,0,64,4
1930875,1930.875,3,9,"[1, 2, 4, 5]",11223,6386,380,0,64,4
1937561,1937.561,3,10,"[1, 4, 5]",13675,7922,281,0,64,3
1986421,1986.421,7,3,"[6, 8]",11976,12289,420,700,66,2
1986858,1986.858,6,5,[7],11884,11738,247,0,66,1
1992826,1992.826,7,1,"[6, 8, 10]",10759,11625,364,0,66,3
2003549,2003.549,7,4,"[8, 10]",6408,9517,410,0,66,2
2172115,2172.115,7,2,"[8, 9, 10]",9351,9354,420,0,72,3
2282798,2282.798,3,10,"[2, 4, 5]",10289,6665,277,0,76,3
2285211,2285.211,4,9,"[2, 3, 5]",10416,7413,410,0,76,3
2287302,2287.302,3,8,"[1, 2, 4, 5]",10294,6336,420,0,76,4
2289601,2289.601,4,7,"[2, 3, 5]",9802,7132,420,129,76,3
2292783,2292.783,4,6,"[1, 2, 3, 5]",10622,6462,420,0,76,4
