timestamp_ms,timestamp_s,killerId,monsterType,monsterSubType,teamId,position_x,position_y,window_30s
881908,881.908,2,DRAGON,EARTH_DRAGON,,9836,4398,29
1031608,1031.608,2,RIFTHERALD,,,4528,10054,34
1224726,1224.726,2,DRAGON,FIRE_DRAGON,,9837,4397,40
1256529,1256.529,2,ATAKHAN,,,11446,3914,41
1551405,1551.405,4,BARON_NASHOR,,,5007,10471,51
1611787,1611.787,2,DRAGON,AIR_DRAGON,,9926,4486,53
