timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
116084,116.084,4,10,[5],13437,3104,300,0,3,1
174060,174.06,6,1,[],797,10173,300,0,5,0
176870,176.87,0,6,[],803,9504,300,0,5,0
224092,224.092,2,10,"[4, 5]",13206,5998,232,0,7,2
242242,242.242,7,1,[6],1599,11496,263,0,8,1
318241,318.241,1,6,[5],4068,13914,300,67,10,1
359898,359.898,10,4,"[7, 9]",10712,2078,300,54,11,2
540424,540.424,2,7,[5],6211,12421,300,0,18,1
572394,572.394,9,4,"[8, 10]",10397,913,310,0,19,2
590275,590.275,7,3,[10],5978,6924,320,0,19,1
634106,634.106,4,10,[5],13481,4876,300,0,21,1
708252,708.252,1,6,[5],2725,12585,330,0,23,1
854373,854.373,3,7,"[2, 5]",10387,6305,320,0,28,2
854407,854.407,1,6,[],3004,12886,289,0,28,0
855910,855.91,3,10,"[2, 5]",10597,6455,282,0,28,2
902995,902.995,3,10,"[4, 5]",14056,5069,207,0,30,2
905400,905.4,9,4,[10],13193,5557,330,0,30,1
918068,918.068,9,3,[],13492,5625,350,200,30,0
963336,963.336,6,1,"[8, 10]",7792,13946,360,136,32,2
993356,993.356,3,7,[5],8937,9518,330,0,33,1
1109229,1109.229,8,3,"[7, 9, 10]",12028,2194,360,1,36,3
1134643,1134.643,2,7,"[1, 4, 5]",9974,8920,284,0,37,3
1138217,1138.217,4,10,"[1, 2, 5]",10287,8073,223,0,37,3
1165273,1165.273,1,6,"[2, 5]",10037,10558,360,0,38,2
1169781,1169.781,3,8,[],7435,3670,370,0,38,0
1223791,1223.791,3,7,[],6313,13492,203,0,40,0
1242476,1242.476,4,10,"[2, 5]",12343,4920,157,0,41,2
1324118,1324.118,9,3,"[6, 10]",2473,13227,380,64,44,2
1340544,1340.544,9,1,[8],1564,10249,390,111,44,1
1349200,1349.2,4,7,[5],1705,9548,197,0,44,1
1355111,1355.111,4,6,"[2, 5]",2870,10093,370,0,45,2
1361457,1361.457,4,8,[5],3295,9508,380,0,45,1
1430989,1430.989,3,10,[4],10224,7451,156,0,47,1
1470340,1470.34,6,1,"[7, 9]",6779,13551,374,0,49,2
1478256,1478.256,2,6,"[1, 5]",7026,14036,362,0,49,2
1541591,1541.591,3,9,[],10242,6728,370,0,51,0
1545639,1545.639,1,10,[3],10168,5900,113,0,51,1
1549568,1549.568,1,8,[],10851,6254,390,0,51,0
1550136,1550.136,8,3,"[6, 9, 10]",11901,4690,400,0,51,3
1585646,1585.646,2,7,[1],11289,8685,186,0,52,1
1634073,1634.073,3,6,[],1880,12545,321,0,54,0
1691030,1691.03,4,7,[3],9222,13869,142,0,56,1
1696708,1696.708,4,10,"[3, 5]",9237,13915,137,0,56,2
1698601,1698.601,9,3,"[6, 7, 10]",9268,13770,410,2,56,3
1700776,1700.776,4,6,"[3, 5]",9049,13418,270,0,56,2
1704873,1704.873,8,4,"[6, 7, 9, 10]",9532,13644,400,540,56,4
1705947,1705.947,4,8,[5],10191,13365,390,0,56,1
1706385,1706.385,2,9,"[3, 4, 5]",11832,13944,380,0,56,3
