timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
144026,144.026,1,6,[],4424,14058,300,0,4,0
315461,315.461,6,1,[],3561,13251,300,34,10,0
332094,332.094,7,2,[],4138,6028,300,0,11,0
396538,396.538,8,3,[],7715,7858,300,0,13,0
396939,396.939,3,8,[2],7406,7612,300,0,13,1
476200,476.2,6,1,[],1192,10596,310,0,15,0
479039,479.039,1,6,[],1919,11356,310,0,15,0
541376,541.376,8,3,[],6341,6748,310,0,18,0
658652,658.652,9,5,"[7, 8, 10]",10306,5073,310,0,21,3
666152,666.152,7,2,[8],6146,4935,310,0,22,1
685352,685.352,1,6,[],3361,11430,330,20,22,0
717596,717.596,3,9,"[4, 5]",10620,5254,310,25,23,2
723023,723.023,4,7,"[3, 5]",12511,5459,310,0,24,2
747247,747.247,8,3,[],8498,6846,330,10,24,0
765195,765.195,9,5,[10],12098,2528,270,0,25,1
771058,771.058,4,9,[5],11884,2698,320,0,25,1
773664,773.664,4,10,[],12668,2277,310,0,25,0
813997,813.997,8,5,[7],5674,6901,231,0,27,1
823030,823.03,8,2,[],5317,5892,277,0,27,0
824934,824.934,2,8,"[3, 5]",4695,6743,350,0,27,2
840187,840.187,6,1,[],783,9621,340,0,28,0
885116,885.116,4,9,[5],12680,1384,294,0,29,1
891135,891.135,4,8,[5],13320,3388,350,0,29,1
921894,921.894,7,5,[10],9495,6494,253,0,30,1
929896,929.896,3,10,"[2, 4, 5]",9989,6574,320,0,30,3
980669,980.669,4,6,"[1, 2, 5]",2567,9602,350,0,32,3
1031717,1031.717,2,10,"[3, 4, 5]",10386,9645,252,0,34,3
1130286,1130.286,9,3,"[6, 10]",6314,8264,350,117,37,2
1138301,1138.301,4,9,"[3, 5]",7149,9275,340,0,37,2
1151184,1151.184,7,5,"[6, 10]",3908,10058,235,0,38,2
1153154,1153.154,6,4,"[7, 9, 10]",3492,10470,360,700,38,3
1156427,1156.427,1,6,"[2, 4, 5]",3504,10010,370,0,38,3
1159857,1159.857,8,1,"[6, 7, 10]",1800,9501,370,28,38,3
1244536,1244.536,1,9,[],10695,5269,323,0,41,0
1306065,1306.065,2,10,"[3, 4, 5]",14122,6435,252,0,43,3
1306768,1306.768,6,4,"[7, 9, 10]",13251,5347,360,0,43,3
1312118,1312.118,2,9,"[3, 4, 5]",14057,5967,273,0,43,3
1319894,1319.894,3,6,"[2, 5]",12679,5827,370,0,43,2
1353566,1353.566,1,7,"[2, 3, 5]",10954,4455,370,0,45,3
1382042,1382.042,9,4,[10],9755,5427,346,0,46,1
1480273,1480.273,6,1,[10],12676,2017,390,216,49,1
1482706,1482.706,4,9,"[3, 5]",9963,9136,273,0,49,2
1503003,1503.003,7,4,[8],6145,6289,342,0,50,1
1504608,1504.608,7,5,[8],5675,5303,263,0,50,1
1522918,1522.918,2,7,[],6741,8304,380,0,50,0
1529966,1529.966,10,3,[],7138,7233,380,86,50,0
1614418,1614.418,1,9,"[4, 5]",6421,9952,243,0,53,2
1651580,1651.58,8,2,"[7, 10]",8000,7051,390,479,55,2
1655387,1655.387,7,3,[10],8133,6589,380,0,55,1
1663998,1663.998,4,8,"[1, 2, 3, 5]",6057,7949,390,0,55,4
1665104,1665.104,7,4,"[8, 10]",5885,8487,373,0,55,2
1665705,1665.705,6,5,"[8, 10]",6248,7220,217,0,55,2
1759153,1759.153,1,9,"[4, 5]",7406,7012,195,0,58,2
1813584,1813.584,6,5,"[7, 10]",5607,3772,162,0,60,2
1837384,1837.384,1,7,[3],9876,1227,410,0,61,1
1927371,1927.371,6,5,[10],9395,9376,123,0,64,1
1927581,1927.581,1,7,[4],10601,10379,410,0,64,1
1930961,1930.961,9,4,[10],7595,8835,390,0,64,1
1933721,1933.721,1,10,"[3, 4, 5]",8700,10111,380,0,64,3
1942271,1942.271,2,9,"[3, 4]",8290,8422,261,0,64,2
1949367,1949.367,3,6,[2],8077,10127,410,0,64,1
2021252,2021.252,1,9,"[3, 4, 5]",9242,9382,187,0,67,3
2024027,2024.027,4,7,"[1, 3, 5]",9531,9609,410,0,67,3
2027382,2027.382,6,5,"[8, 9, 10]",9347,8039,132,0,67,3
2028441,2028.441,8,4,"[6, 7, 9, 10]",8984,7994,400,0,67,4
2032086,2032.086,2,10,"[1, 3, 4, 5]",8996,10911,390,0,67,4
2042653,2042.653,1,6,"[2, 3]",6577,8747,410,0,68,2
2070636,2070.636,2,8,"[1, 3]",12051,11613,420,0,69,2
2078121,2078.121,3,9,"[1, 2]",13244,12268,150,0,69,2
