window_30s,t_start_s,t_end_s,kill_count,unique_participants,unique_killers,avg_assists,objective_count,dragon_count,baron_count,herald_count,atakhan_count,match_id
4,120,150,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
10,300,330,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
11,330,360,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
13,390,420,2,3,2,0.5,0,0,0,0,0,NA1_5442907712
15,450,480,2,2,2,0.0,0,0,0,0,0,NA1_5442907712
18,540,570,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
21,630,660,1,5,1,3.0,0,0,0,0,0,NA1_5442907712
22,660,690,2,5,2,0.5,0,0,0,0,0,NA1_5442907712
23,690,720,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
24,720,750,2,5,2,1.0,1,1,0,0,0,NA1_5442907712
25,750,780,3,4,2,0.6666666666666666,0,0,0,0,0,NA1_5442907712
27,810,840,3,5,2,1.0,0,0,0,0,0,NA1_5442907712
28,840,870,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
29,870,900,2,4,1,1.0,0,0,0,0,0,NA1_5442907712
30,900,930,2,6,2,2.0,0,0,0,0,0,NA1_5442907712
32,960,990,1,5,1,3.0,0,0,0,0,0,NA1_5442907712
34,1020,1050,1,5,1,3.0,0,0,0,0,0,NA1_5442907712
37,1110,1140,2,6,2,2.0,1,0,0,1,0,NA1_5442907712
38,1140,1170,4,9,4,2.75,0,0,0,0,0,NA1_5442907712
41,1230,1260,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
43,1290,1320,4,8,3,2.75,0,0,0,0,0,NA1_5442907712
45,1350,1380,1,5,1,3.0,1,0,0,0,1,NA1_5442907712
46,1380,1410,1,3,1,1.0,1,1,0,0,0,NA1_5442907712
49,1470,1500,2,7,2,1.5,0,0,0,0,0,NA1_5442907712
50,1500,1530,4,7,3,0.5,0,0,0,0,0,NA1_5442907712
53,1590,1620,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
55,1650,1680,5,9,4,2.2,0,0,0,0,0,NA1_5442907712
58,1740,1770,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
60,1800,1830,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
61,1830,1860,1,3,1,1.0,0,0,0,0,0,NA1_5442907712
64,1920,1950,6,9,5,1.5,0,0,0,0,0,NA1_5442907712
67,2010,2040,5,10,5,3.4,0,0,0,0,0,NA1_5442907712
68,2040,2070,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
69,2070,2100,2,5,2,2.0,0,0,0,0,0,NA1_5442907712
