timestamp_ms,timestamp_s,killerId,monsterType,monsterSubType,teamId,position_x,position_y,window_30s
599497,599.497,7,DRAGON,AIR_DRAGON,,9836,4398,19
1010145,1010.145,7,DRAGON,HEXTECH_DRAGON,,9945,4842,33
1273195,1273.195,7,ATAKHAN,,,3088,11591,42
1301814,1301.814,7,RIFTHERALD,,,4614,10208,43
1349509,1349.509,9,DRAGON,WATER_DRAGON,,10073,4957,44
1593070,1593.07,7,BARON_NASHOR,,,5007,10471,53
1681144,1681.144,7,DRAGON,WATER_DRAGON,,9837,4397,56
1987796,1987.796,2,BARON_NASHOR,,,5007,10471,66
2078868,2078.868,7,DRAGON,ELDER_DRAGON,,9837,4397,69
