timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
166938,166.938,8,3,[],6258,6570,300,0,5,0
185537,185.537,10,5,[9],12240,2161,300,0,6,1
212392,212.392,2,9,[4],12167,2040,300,0,7,1
216967,216.967,7,3,[8],8167,7658,251,0,7,1
217602,217.602,2,10,[],13325,3853,300,1,7,0
246739,246.739,6,1,[7],825,10412,300,0,8,1
254956,254.956,2,8,[],8378,8856,300,60,8,0
316411,316.411,2,8,[3],7840,7254,300,0,10,1
358581,358.581,7,5,[8],8665,4521,222,0,11,1
406447,406.447,6,1,[],3834,13676,266,0,13,0
450998,450.998,1,6,[],966,11250,310,122,15,0
470704,470.704,3,8,[],8499,7943,274,0,15,0
544406,544.406,3,8,"[2, 4, 5]",9372,4208,238,0,18,3
557439,557.439,9,3,"[7, 8, 10]",8187,3515,320,0,18,3
574545,574.545,2,7,[4],12395,7301,300,0,19,1
614931,614.931,2,8,[5],8177,8547,209,0,20,1
709605,709.605,2,10,[4],13510,3241,300,0,23,1
712180,712.18,2,9,[5],13714,3170,320,0,23,1
725383,725.383,3,8,[],7635,8000,175,0,24,0
772982,772.982,7,4,[],11083,1563,330,157,25,0
829364,829.364,7,1,[6],6085,12763,340,0,27,1
832397,832.397,7,2,[6],5433,13539,330,700,27,1
856840,856.84,9,5,[10],5930,6706,221,0,28,1
865725,865.725,3,8,[],12017,3358,189,0,28,0
867528,867.528,4,9,[5],7736,7314,330,0,28,1
914967,914.967,3,8,"[4, 5]",6864,7090,152,0,30,2
925722,925.722,9,5,[10],6584,6790,205,0,30,1
928428,928.428,2,6,[],11251,3262,350,0,30,0
930231,930.231,4,9,"[3, 5]",7231,7065,329,0,31,2
961579,961.579,7,1,"[8, 10]",7908,14082,325,0,32,2
987336,987.336,4,9,[],8604,8315,230,0,32,0
1003641,1003.641,8,2,[10],4755,7844,350,40,33,1
1014507,1014.507,1,10,[],6135,9935,330,0,33,0
1039323,1039.323,3,9,[],8885,8237,188,0,34,0
1107674,1107.674,9,1,"[6, 8, 10]",8717,8625,330,0,36,3
1109411,1109.411,4,10,[1],9528,9675,306,0,36,1
1135715,1135.715,5,8,[4],7062,7042,299,0,37,1
1158141,1158.141,7,2,[10],7883,8777,360,0,38,1
1180292,1180.292,1,6,[],10232,2214,370,0,39,0
1213249,1213.249,4,8,[3],8433,8812,246,0,40,1
1230222,1230.222,5,10,"[3, 4]",12350,7272,260,0,41,2
1252223,1252.223,3,7,"[2, 4, 5]",11995,4548,370,0,41,3
1257605,1257.605,3,6,[1],13511,5569,370,0,41,1
1262764,1262.764,3,8,"[1, 5]",13635,6181,176,0,42,2
1266940,1266.94,3,9,[1],13308,8024,313,0,42,1
1325929,1325.929,2,7,"[4, 5]",6302,9262,370,0,44,2
1330072,1330.072,2,8,"[4, 5]",7117,8909,123,0,44,2
