timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
241826,241.826,7,2,"[9, 10]",11370,5925,300,0,8,2
246168,246.168,7,5,"[8, 9, 10]",11847,5037,300,0,8,3
251880,251.88,8,3,[9],10961,6093,300,0,8,1
255354,255.354,7,4,[10],10454,2757,300,0,8,1
300771,300.771,2,6,[1],4154,14022,300,0,10,1
370736,370.736,2,6,[1],3777,13631,232,0,12,1
423737,423.737,1,6,[2],4210,14026,166,0,14,1
424906,424.906,6,2,[],3737,13615,300,0,14,0
443077,443.077,1,8,[3],3987,13749,310,37,14,1
609826,609.826,8,3,[],8160,7286,320,0,20,0
648212,648.212,1,6,[],4330,13666,254,0,21,0
684154,684.154,6,2,[],3876,13881,310,0,22,0
700098,700.098,4,9,[5],12411,1396,320,5,23,1
703438,703.438,3,8,[],8380,6228,330,0,23,0
727925,727.925,7,3,[],7104,7672,340,0,24,0
753903,753.903,7,2,"[8, 10]",12237,4809,279,0,25,2
761206,761.206,9,5,"[7, 8, 10]",12674,4339,283,0,25,3
764479,764.479,9,4,"[7, 8, 10]",12211,2629,320,0,25,3
822686,822.686,7,3,"[8, 10]",7634,6820,338,0,27,2
828850,828.85,4,10,"[3, 5]",8529,6042,320,61,27,2
843702,843.702,4,8,"[2, 5]",6756,4625,340,27,28,2
867362,867.362,1,7,[2],10317,4584,330,638,28,1
872311,872.311,1,9,[5],8980,4309,320,9,29,1
943276,943.276,3,7,"[1, 2, 4, 5]",8123,10455,318,0,31,4
943788,943.788,9,2,"[6, 7, 10]",8013,10366,303,0,31,3
946899,946.899,4,9,"[3, 5]",8547,9997,330,0,31,2
948472,948.472,6,5,"[7, 9, 10]",7875,10126,297,0,31,3
949408,949.408,6,1,"[7, 9, 10]",8722,10223,350,0,31,3
952147,952.147,6,3,"[7, 10]",7457,10963,350,0,31,2
953950,953.95,4,6,"[1, 3, 5]",7783,10697,350,0,31,3
974025,974.025,4,10,[],8274,10185,330,0,32,0
988394,988.394,4,8,[],7934,11787,319,0,32,0
988708,988.708,8,4,[],7683,11300,340,0,32,0
1032202,1032.202,10,3,"[8, 9]",8289,7396,278,0,34,2
1035876,1035.876,7,5,"[8, 9, 10]",7558,7044,221,0,34,3
1055552,1055.552,9,4,"[7, 10]",5519,5025,340,0,35,2
1061230,1061.23,1,8,[],12252,7478,350,0,35,0
1123314,1123.314,4,6,"[1, 2, 5]",6338,7400,360,76,37,3
1157425,1157.425,4,10,"[2, 5]",10440,6644,340,0,38,2
1162872,1162.872,8,3,"[7, 9, 10]",11572,6710,254,0,38,3
1167916,1167.916,4,9,"[2, 3, 5]",12194,7705,340,0,38,3
1173694,1173.694,6,5,[8],11189,6012,207,0,39,1
1180442,1180.442,7,4,"[6, 8, 9]",9625,7089,350,0,39,3
1183032,1183.032,6,1,"[7, 8]",10074,6440,370,0,39,2
1191650,1191.65,6,2,"[7, 8, 9]",8623,4364,313,0,39,3
1265921,1265.921,1,10,[3],13763,3577,301,0,42,1
1449867,1449.867,6,3,[7],7140,8884,340,0,48,1
1498600,1498.6,8,2,[7],5615,12762,312,0,49,1
1503301,1503.301,8,1,"[7, 10]",5251,12537,380,0,50,2
1516205,1516.205,7,3,"[6, 8, 10]",944,10807,242,0,50,3
1630453,1630.453,5,10,"[1, 2]",7486,5224,248,0,54,2
1648938,1648.938,6,1,"[7, 9]",7082,4812,390,0,54,2
1657189,1657.189,6,2,"[7, 8, 9]",6438,4903,277,0,55,3
1660975,1660.975,9,4,"[6, 8]",7144,3167,370,0,55,2
1676189,1676.189,8,3,[7],3046,3929,201,0,55,1
1679662,1679.662,7,5,[8],3178,2909,214,0,55,1
